,session,,,,
101,Morning,2022-12-03,cus1,trainer1,Cancelled
103,Morning,2022-12-04,cus3,trainer1,Accept
204,Afternoon,2022-12-05,cus2,trainer3,Accept
304,Afternoon,2022-12-06,cus3,trainer1,Accept
402,Morning,2022-12-07,cus4,trainer4,Accept
403,Afternoon,2022-12-08,cus4,trainer4,Accept
204,Afternoon,2022-12-09,cus3,trainer2,Cancelled
,Afternoon,2022-12-10,cus1,,Pending
203,Afternoon,2022-12-11,cus2,trainer3,Accept
301,Morning,2022-12-12,cus1,trainer3,Cancelled
401,Morning,2022-12-13,cus1,trainer2,Accept
202,Afternoon,2022-12-14,cus2,trainer1,Cancelled
302,Afternoon,2022-12-15,cus1,trainer1,Accept
103,Morning,2022-12-16,cus2,trainer3,Cancelled
201,Morning,2022-12-17,cus2,trainer2,Accept
302,Afternoon,2022-12-18,cus3,trainer2,Accept
303,Morning,2022-12-19,cus1,trainer3,Accept
303,Morning,2022-12-20,cus4,trainer4,Accept
103,Morning,2022-12-21,cus5,trainer2,Accept
502,Afternoon,2022-12-22,cus5,trainer4,Accept
102,Afternoon,2022-12-23,cus2,trainer1,Accept
301,Morning,2022-12-24,cus3,trainer3,Accept
201,Morning,2022-12-25,cus1,trainer1,Cancelled
403,Morning,2022-12-26,cus1,trainer2,Accept
303,Morning,2022-12-27,cus3,trainer3,Cancelled
302,Afternoon,2022-12-28,cus2,trainer3,Cancelled
104,Afternoon,2022-12-29,cus3,trainer3,Cancelled
404,Afternoon,2022-12-30,cus2,trainer2,Accept
,Afternoon,2022-12-31,cus3,,Pending
404,Morning,2023-01-01,cus3,trainer1,Accept
204,Morning,2023-01-02,cus3,trainer3,Accept
203,Morning,2023-01-03,cus2,trainer2,Cancelled
401,Morning,2023-01-04,cus2,trainer1,Accept
203,Morning,2023-01-05,cus3,trainer1,Cancelled
401,Afternoon,2023-01-06,cus2,trainer2,Accept
404,Afternoon,2023-01-07,cus1,trainer3,Accept
203,Morning,2023-01-08,cus1,trainer3,Accept
,Afternoon,2023-01-09,cus2,,Pending
202,Afternoon,2023-01-10,cus1,trainer2,Cancelled
,Morning,2023-01-11,cus3,,Pending
102,Afternoon,2023-01-12,cus1,trainer3,Cancelled
402,Afternoon,2023-01-13,cus2,trainer2,Cancelled
102,Afternoon,2023-01-14,cus3,trainer3,Accept
,Morning,2023-01-15,cus2,,Pending
304,Morning,2023-01-16,cus1,trainer2,Accept
101,Morning,2023-01-17,cus2,trainer3,Accept
104,Afternoon,2023-01-18,cus1,trainer2,Accept
403,Morning,2023-01-19,cus3,trainer2,Cancelled
,Morning,2023-01-20,cus2,,Pending
103,Morning,2023-01-21,cus1,trainer1,Accept
201,Morning,2023-01-22,cus3,trainer1,Cancelled
204,Afternoon,2023-01-23,cus1,trainer2,Cancelled
402,Afternoon,2023-01-24,cus1,trainer1,Accept
